original_path,intended_path,error
./audio_processing_system/LICENSE,_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1L_1I_1C_1E_1N_1S_1E_1,[Errno 2] No such file or directory: '_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1L_1I_1C_1E_1N_1S_1E_1'
./organized/docs/LICENSE,_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1L_1I_1C_1E_1N_1S_1E_1,[Errno 2] No such file or directory: '_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1L_1I_1C_1E_1N_1S_1E_1'
./Kangaroo/.git/logs/HEAD,_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1H_1E_1A_1D_1,[Errno 2] No such file or directory: '_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1H_1E_1A_1D_1'
./Kangaroo/.git/logs/refs/remotes/origin/HEAD,_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1H_1E_1A_1D_1,[Errno 2] No such file or directory: '_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1H_1E_1A_1D_1'
./Kangaroo/.git/refs/remotes/origin/HEAD,_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1H_1E_1A_1D_1,[Errno 2] No such file or directory: '_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1H_1E_1A_1D_1'
./Kangaroo/.gitignore,_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1._1g_1i_1t_1i_1g_1n_1o_1r_1e_1,[Errno 2] No such file or directory: '_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1._1g_1i_1t_1i_1g_1n_1o_1r_1e_1'
./Kangaroo/.git/refs/heads/master,_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1m_1a_1s_1t_1e_1r_1,[Errno 2] No such file or directory: '_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1m_1a_1s_1t_1e_1r_1'
./keyhunt/.git/description,_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1d_1e_1s_1c_1r_1i_1p_1t_1i_1o_1n_1,[Errno 2] No such file or directory: '_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1d_1e_1s_1c_1r_1i_1p_1t_1i_1o_1n_1'
./keyhunt/.git/info/exclude,_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1e_1x_1c_1l_1u_1d_1e_1,[Errno 2] No such file or directory: '_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1e_1x_1c_1l_1u_1d_1e_1'
./keyhunt/.git/HEAD,_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1H_1E_1A_1D_1,[Errno 2] No such file or directory: '_1._1/_1a_1r_1c_1h_1i_1v_1e_1/_1H_1E_1A_1D_1'
